Company,Job_Title,Experience,Salary,Rating,Reviews,Job_description,Skills,Posted,Location
Accenture Solutions Pvt Ltd,Microsoft SQL Server Reporting Services (SSRS) Application Developer,4-6 Yrs,Not disclosed,4.0,(18824 Reviews),"Professional Attributes : a: Self disciplined, strong problem solving, trouble shooting...","IT Skills
Testing
Business process
SQL queries
advanced analytics
MS SQL
Analytical
SSRS",,Bangalore/Bengaluru
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,2-4 Yrs,Not disclosed,4.0,(18824 Reviews),"Project Role : Application Developer Project Role Description : Design, build and confi...","SSIS
Microsoft SQL Server
Azure
Microsoft SQL Server Integration Services
GCP
SQL
communication
AWS",,Mumbai
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,8-10 Yrs,Not disclosed,4.0,(18824 Reviews),"Must Have Skills : Microsoft SQL Server Integration Services (SSIS), SAS Base & Macros ...","communication
SQL server
Microsoft SQL Server Analysis
Data Warehousing
SAS Base
SSAS
MSBI
SSIS",,Gurgaon/Gurugram
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,4-6 Yrs,Not disclosed,4.0,(18824 Reviews),"Technical Experience : 1 ETL development, maintenance and Support using MS SQL SSIS2 Re...","Business process
MS SQL
Coding
Analytical
Consulting
SQL Server integration services
Manager Technology
SSIS",,Hyderabad/Secunderabad
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,2-4 Yrs,Not disclosed,4.0,(18824 Reviews),"Professional Attributes : a: Self disciplined, strong problem solving, trouble shooting...","Business process
MS SQL
Database design
Postgresql
Consulting
SQL Server integration services
Database
SSIS",,Gurgaon/Gurugram
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,6-8 Yrs,Not disclosed,4.0,(18824 Reviews),"Project Role : Application Developer Project Role Description : Design, build and confi...","C - Sharp
Agile
SDLC
ETL
Data Warehousing
SQL
Microsoft SQL Server Integration Services
VB NET",,Hyderabad/Secunderabad
Accenture Solutions Pvt Ltd,Microsoft SQL Server Analysis Services (SSAS) Application Developer,2-4 Yrs,Not disclosed,4.0,(18824 Reviews),Educational Qualification : Minimum 15 years of full time education Professional Attrib...,"Business process
Performance tuning
MS SQL
SSAS
Consulting
power bi
microsoft
Data warehousing",,Chennai
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,4-6 Yrs,Not disclosed,4.0,(18824 Reviews),Technical Experience : a Work experience as a SSIS Development to provide support on pr...,"Business process
metadata
MS SQL
HP data protector
Consulting
SQL Server integration services
Manager Technology
Unit testing",,Bangalore/Bengaluru
Accenture Solutions Pvt Ltd,Microsoft SQL Server Integration Services (SSIS) Application Developer,2-4 Yrs,Not disclosed,4.0,(18824 Reviews),Technical Experience : a Work experience as a SSIS Development to provide support on pr...,"SSIS
ETL
object - relational mapping ORM
Microsoft SQL Server Integration Services
Business process
metadata
MS SQL
HP data protector",,Bangalore/Bengaluru
Accenture Solutions Pvt Ltd,Microsoft SQL Server Reporting Services (SSRS) Application Developer,4-6 Yrs,Not disclosed,4.0,(18824 Reviews),"Professional Attributes : a: Self disciplined, strong problem solving, trouble shooting...","SQL Server
verbal
communication
written
Microsoft SQL Server Reporting Services
analytical
TSQL
trouble shooting",,Chennai
Accenture Solutions Pvt Ltd,Microsoft SQL Server Analysis Services (SSAS) Application Developer,4-6 Yrs,Not disclosed,4.0,(18824 Reviews),Key Responsibilities : a Ability to grasp information and requirements quickly b Should...,"communication
BI
Microsoft SQL Server Analysis Services
written
SSAS
analytical
SSIS
verbal",,Bangalore/Bengaluru
