Company,Job_Title,Experience,Salary,Rating,Reviews,Job_description,Skills,Posted,Location
RxLogix Corporation India Pvt Ltd,Java Full Stack Developer/ Lead,7-12 Yrs,Not disclosed,3.0,15 ,Roles and Responsibilities Lead a team of 4- 8 engineers closely with complete authorit...,"Java
J2Ee
Microservices
IT Skills
Oracle
HTML
Javascript
Jenkins",,"Noida, Bangalore/Bengaluru"
Tech Mahindra Ltd.,Core Java Developer (Scala / Spark),4-7 Yrs,Not disclosed,3.6,11767 ,"He / she should be capable of understanding and solving complex problems, have solid co...","Core Java
SCALA
Spark
communication
Oracle
Scrum
written communication
Java",,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
Manipal Technologies Limited,Senior Software Developer- Java,3-8 Yrs,"50,000 - 1,00,000 PA.",3.5,171 ,"Struts, Spring (Web MVC, Batch), Hibernate Framework, Design Pattern Prior experience o...",Java Struts Spring Web MVC Batch Hibernate Framework Design Pattern Java and J2EE REST full API SOAP Hibernate Oracle MSSQL,,"Gurgaon/Gurugram, Bangalore/Bengaluru, Manipal(WFH during Covid)"
SLK Software Services Private Limited,Java Developer | SLK Software,3-8 Yrs,"8,00,000 - 16,00,000 PA.",3.6,433 ,"Need immediate joiners or 15days notice period maximum, Should have payments/ payments ...","Java
API
Spring
IT Skills
J2EE
Testing
HTML
CSS",1 Day Ago,Bangalore/Bengaluru
Option Us,Senior Software Engineer(Java Developer),1-4 Yrs,Not disclosed,,,"Position Senior Software Engineer - JavaSkills Core Java, J2EE, Struts, Spring Boot, HT...","Java
Tomcat
OOPS
Eclipse
Javascript
Spring Framework
Struts
J2Ee",1 Day Ago,Pune(Baner)
SidJobs Consultancy Pvt Ltd,Senior Software Engineer- Java Developer- Pune,5-10 Yrs,Not disclosed,3.0,4 ,"Roles and Responsibilities Experience - 6+ yrs Strong Experience on Core Java, J2EE Hav...","HTML
CSS
Spring boot
jQuery
Core Java
Hibernate
JavaScript
Spring",1 Day Ago,Pune
Kott Software Private Limited,JAVA / J2EE - Senior Software Engineers / Software Developers,1-6 Yrs,Not disclosed,3.9,13 ,Experience in web application development is mandatory At least 2+ years overall applic...,"Struts
Oracle
JSP
application
Angular
Communication
OOP
Patterns",1 Day Ago,Kochi/Cochin(WFH during Covid)
Virtusa Consulting Services Pvt Ltd,Job Opening || Java Fullstack Developer (immediate Joiner),6-8 Yrs,"10,00,000 - 20,00,000 PA.",3.4,1080 ,Position: Full Stack Java Developer/LeadLocation: Pune/Chennai/Hyderabad/Noida/Bangalor...,"CSS
J2EE
REST
Spring boot
spring
MVC
SQL
HTML5",1 Day Ago,"New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
Zapbuild Technologies Pvt. Ltd.,Senior Java Developer - Spring Boot/Hibernate,6-10 Yrs,Not disclosed,4.4,16 ,"Proficient in n-tier application design and development using Java, J2EE, JSP, Servlets...","IT Skills
Java
J2EE
Software Development
Testing
Cloud
Oracle
Hibernate",,"Chandigarh, Bangalore/Bengaluru"
Greenbots Software India PVT LTD,Senior/Junior Software Developer (Java Developer) - CTC 5L To 15L PA,1-6 Yrs,"5,00,000 - 15,00,000 PA.",,,Job descriptionAny Graduate having minimum 1 years of ExperienceWho can join Immediate ...,"Maven
Java
Hibernate
MySQL
Java Api
J2Ee
SQL Server
Spring",,Bangalore/Bengaluru
